 0 0 60
  0.000000D+00  7.500000D+00
  1.000000D-03  7.500000D+00
  2.000000D-03  7.100000D+00
  3.000000D-03  6.700000D+00
  5.000000D-03  6.100000D+00
  7.000000D-03  5.400000D+00
  8.500000D-03  5.050000D+00
  1.000000D-02  4.600000D+00
  1.500000D-02  3.750000D+00
  2.000000D-02  3.250000D+00
  3.000000D-02  2.500000D+00
  4.000000D-02  2.050000D+00
  5.000000D-02  1.730000D+00
  7.000000D-02  1.130000D+00
  1.000000D-01  5.900000D-01
  1.200000D-01  4.000000D-01
  1.500000D-01  2.300000D-01
  1.700000D-01  1.600000D-01
  2.000000D-01  1.030000D-01
  2.500000D-01  9.100000D-02
  3.000000D-01  1.530000D-01
  3.500000D-01  2.350000D-01
  4.000000D-01  3.300000D-01
  5.000000D-01  5.100000D-01
  7.000000D-01  8.600000D-01
  1.000000D+00  1.380000D+00
  1.200000D+00  1.660000D+00
  1.300000D+00  1.820000D+00
  1.500000D+00  2.100000D+00
  1.700000D+00  2.300000D+00
  1.900000D+00  2.500000D+00
  2.100000D+00  2.800000D+00
  2.200000D+00  2.900000D+00
  2.500000D+00  3.300000D+00
  2.800000D+00  3.800000D+00
  3.000000D+00  4.100000D+00
  3.300000D+00  4.500000D+00
  3.600000D+00  4.900000D+00
  4.000000D+00  5.400000D+00
  4.500000D+00  6.100000D+00
  5.000000D+00  6.700000D+00
  6.000000D+00  8.100000D+00
  7.000000D+00  9.600000D+00
  8.000000D+00  1.170000D+01
  1.000000D+01  1.500000D+01
  1.200000D+01  1.450000D+01
  1.500000D+01  1.370000D+01
  1.700000D+01  1.100000D+01
  2.000000D+01  9.200000D+00
  2.500000D+01  6.800000D+00
  3.000000D+01  5.500000D+00
  5.000000D+01  3.200000D+00
  7.500000D+01  2.150000D+00
  1.000000D+02  1.600000D+00
  1.500000D+02  1.100000D+00
  2.000000D+02  8.800000D-01
  3.000000D+02  6.000000D-01
  5.000000D+02  3.700000D-01
  7.000000D+02  2.600000D-01
  1.000000D+03  1.700000D-01
 
 0 1 27
  1.154800D+01  0.000000D+00
  1.300000D+01  3.237651D-02
  1.400000D+01  6.696381D-02
  1.500000D+01  8.379833D-02
  1.600000D+01  8.465143D-02
  1.700000D+01  7.921512D-02
  1.800000D+01  7.239988D-02
  1.900000D+01  6.652126D-02
  2.000000D+01  6.126511D-02
  2.100000D+01  5.627307D-02
  2.200000D+01  5.148532D-02
  2.300000D+01  4.691839D-02
  2.400000D+01  4.258879D-02
  2.500000D+01  3.851303D-02
  3.000000D+01  2.211297D-02
  3.500000D+01  1.188919D-02
  4.000000D+01  6.437844D-03
  4.500000D+01  4.149204D-03
  5.000000D+01  3.413557D-03
  8.000000D+01  6.591940D-04
  9.000000D+01  4.532050D-04
  1.000000D+02  3.453060D-04
  2.000000D+02  1.021530D-04
  3.000000D+02  5.995260D-05
  4.000000D+02  4.243090D-05
  5.000000D+02  3.283760D-05
  1.000000D+03  1.542300D-05
 
 0 2 27
  1.162300D+01  0.000000D+00
  1.300000D+01  1.912001D-02
  1.400000D+01  3.728471D-02
  1.500000D+01  4.208985D-02
  1.600000D+01  4.276331D-02
  1.700000D+01  4.271554D-02
  1.800000D+01  4.219654D-02
  1.900000D+01  4.140567D-02
  2.000000D+01  4.049165D-02
  2.100000D+01  3.957714D-02
  2.200000D+01  3.868779D-02
  2.300000D+01  3.782461D-02
  2.400000D+01  3.698862D-02
  2.500000D+01  3.618082D-02
  3.000000D+01  3.260000D-02
  3.500000D+01  2.982574D-02
  4.000000D+01  2.773622D-02
  4.500000D+01  2.616002D-02
  5.000000D+01  2.492574D-02
  8.000000D+01  2.061000D-02
  9.000000D+01  1.963000D-02
  1.000000D+02  1.872000D-02
  2.000000D+02  1.283000D-02
  3.000000D+02  9.905000D-03
  4.000000D+02  8.150000D-03
  5.000000D+02  6.965000D-03
  1.000000D+03  4.180000D-03
 
 0 3 27
  1.172300D+01  0.000000D+00
  1.300000D+01  2.383485D-03
  1.400000D+01  7.000000D-03
  1.500000D+01  1.248946D-02
  1.600000D+01  1.525432D-02
  1.700000D+01  1.542259D-02
  1.800000D+01  1.424236D-02
  1.900000D+01  1.254325D-02
  2.000000D+01  1.073286D-02
  2.100000D+01  9.132054D-03
  2.200000D+01  7.785033D-03
  2.300000D+01  6.665677D-03
  2.400000D+01  5.747864D-03
  2.500000D+01  5.005477D-03
  3.000000D+01  3.010785D-03
  3.500000D+01  2.009508D-03
  4.000000D+01  1.367266D-03
  4.500000D+01  9.765876D-04
  5.000000D+01  7.300000D-04
  8.000000D+01  6.667710D-05
  9.000000D+01  4.286470D-05
  1.000000D+02  3.158510D-05
  2.000000D+02  8.699060D-06
  3.000000D+02  5.044980D-06
  4.000000D+02  3.553080D-06
  5.000000D+02  2.742410D-06
  1.000000D+03  1.281830D-06
 
 0 4 27
  1.182800D+01  0.000000D+00
  1.300000D+01  1.462692D-02
  1.400000D+01  3.850000D-02
  1.500000D+01  5.953570D-02
  1.600000D+01  7.522780D-02
  1.700000D+01  8.611805D-02
  1.800000D+01  9.291095D-02
  1.900000D+01  9.663965D-02
  2.000000D+01  9.866815D-02
  2.100000D+01  1.001533D-01
  2.200000D+01  1.013488D-01
  2.300000D+01  1.022794D-01
  2.400000D+01  1.029694D-01
  2.500000D+01  1.034436D-01
  3.000000D+01  1.034341D-01
  3.500000D+01  1.012873D-01
  4.000000D+01  9.796910D-02
  4.500000D+01  9.402495D-02
  5.000000D+01  9.000000D-02
  8.000000D+01  7.363500D-02
  9.000000D+01  6.969500D-02
  1.000000D+02  6.614000D-02
  2.000000D+02  4.431000D-02
  3.000000D+02  3.392500D-02
  4.000000D+02  2.778000D-02
  5.000000D+02  2.367500D-02
  1.000000D+03  1.409500D-02
 
 0 5 26
  1.290700D+01  0.000000D+00
  1.400000D+01  3.735290D-03
  1.500000D+01  1.175278D-02
  1.600000D+01  2.152399D-02
  1.700000D+01  3.064930D-02
  1.800000D+01  3.799034D-02
  1.900000D+01  4.366548D-02
  2.000000D+01  4.784773D-02
  2.100000D+01  5.071008D-02
  2.200000D+01  5.242554D-02
  2.300000D+01  5.316713D-02
  2.400000D+01  5.310782D-02
  2.500000D+01  5.242051D-02
  3.000000D+01  4.337958D-02
  3.500000D+01  3.173874D-02
  4.000000D+01  2.347116D-02
  4.500000D+01  1.850583D-02
  5.000000D+01  1.443098D-02
  8.000000D+01  7.260000D-03
  9.000000D+01  6.570000D-03
  1.000000D+02  6.010000D-03
  2.000000D+02  3.200000D-03
  3.000000D+02  2.180000D-03
  4.000000D+02  1.650000D-03
  5.000000D+02  1.330000D-03
  1.000000D+03  6.733630D-04
 
 0 6 26
  1.307600D+01  0.000000D+00
  1.400000D+01  2.000567D-03
  1.500000D+01  5.374095D-03
  1.600000D+01  1.088792D-02
  1.700000D+01  2.714184D-02
  1.800000D+01  4.799858D-02
  1.900000D+01  5.200199D-02
  2.000000D+01  4.932387D-02
  2.100000D+01  4.573903D-02
  2.200000D+01  4.224374D-02
  2.300000D+01  3.898976D-02
  2.400000D+01  3.607922D-02
  2.500000D+01  3.346691D-02
  3.000000D+01  2.235568D-02
  3.500000D+01  1.283387D-02
  4.000000D+01  8.443099D-03
  4.500000D+01  6.991201D-03
  5.000000D+01  6.442104D-03
  8.000000D+01  5.090000D-03
  9.000000D+01  4.780000D-03
  1.000000D+02  4.500000D-03
  2.000000D+02  2.670000D-03
  3.000000D+02  1.880000D-03
  4.000000D+02  1.440000D-03
  5.000000D+02  1.170000D-03
  1.000000D+03  6.041330D-04
 
 0 7 26
  1.309500D+01  0.000000D+00
  1.400000D+01  7.659355D-03
  1.500000D+01  2.031569D-02
  1.600000D+01  2.836340D-02
  1.700000D+01  3.514590D-02
  1.800000D+01  4.222786D-02
  1.900000D+01  4.880935D-02
  2.000000D+01  5.347821D-02
  2.100000D+01  5.419829D-02
  2.200000D+01  5.174940D-02
  2.300000D+01  4.900214D-02
  2.400000D+01  4.631847D-02
  2.500000D+01  4.392787D-02
  3.000000D+01  3.721907D-02
  3.500000D+01  3.309747D-02
